Gene end (bp),Gene start (bp),Gene name,Gene stable ID,Source of gene name,Gene Synonym
25983526,25959074,,ENSG00000232464,,
25964273,25963983,RN7SKP169,ENSG00000223056,HGNC Symbol,
26006532,26006389,,ENSG00000232050,,
26164303,26161834,LINC02559,ENSG00000236464,HGNC Symbol,
26169341,26161905,,ENSG00000229770,,
26383597,26169462,SEZ6L,ENSG00000100095,HGNC Symbol,
26254092,26241331,SEZ6L-AS1,ENSG00000224192,HGNC Symbol,
26390776,26390667,RNA5SP495,ENSG00000252267,HGNC Symbol,RN5S495
26423193,26422071,,ENSG00000230203,,
26445015,26429260,ASPHD2,ENSG00000128203,HGNC Symbol,FLJ39838
26483837,26443423,HPS4,ENSG00000100099,HGNC Symbol,BLOC3S2
26483837,26443423,HPS4,ENSG00000100099,HGNC Symbol,KIAA1667
26483837,26443423,HPS4,ENSG00000100099,HGNC Symbol,LE
26494658,26483877,SRRD,ENSG00000100104,HGNC Symbol,HC/HCC
26494658,26483877,SRRD,ENSG00000100104,HGNC Symbol,SRR1L
26512505,26491225,TFIP11,ENSG00000100109,HGNC Symbol,DKFZP434B194
26512505,26491225,TFIP11,ENSG00000100109,HGNC Symbol,Spp382
26512505,26491225,TFIP11,ENSG00000100109,HGNC Symbol,TIP39
26514568,26512529,TFIP11-DT,ENSG00000261188,HGNC Symbol,
26596717,26521996,TPST2,ENSG00000128294,HGNC Symbol,TANGO13B
26555323,26555212,MIR548J,ENSG00000221760,HGNC Symbol,hsa-mir-548j
26555323,26555212,MIR548J,ENSG00000221760,HGNC Symbol,MIRN548J
26561088,26560526,HMGB1P10,ENSG00000213707,HGNC Symbol,HMG1L10
26561088,26560526,HMGB1P10,ENSG00000213707,HGNC Symbol,HMGB1L10
26611453,26597028,,ENSG00000286326,,
26618027,26599278,CRYBB1,ENSG00000100122,HGNC Symbol,
26630669,26621963,CRYBA4,ENSG00000196431,HGNC Symbol,
26645336,26644889,ISCA2P1,ENSG00000226912,HGNC Symbol,
26676475,26646411,MIAT,ENSG00000225783,HGNC Symbol,C22orf35
26676475,26646411,MIAT,ENSG00000225783,HGNC Symbol,FLJ25967
26676475,26646411,MIAT,ENSG00000225783,HGNC Symbol,gomafu
26676475,26646411,MIAT,ENSG00000225783,HGNC Symbol,LINC00066
26676475,26646411,MIAT,ENSG00000225783,HGNC Symbol,lncRNA-MIAT
26676475,26646411,MIAT,ENSG00000225783,HGNC Symbol,NCRNA00066
26676475,26646411,MIAT,ENSG00000225783,HGNC Symbol,Rncr2
26657655,26657521,,ENSG00000278404,,
26672654,26667693,,ENSG00000206028,,
26671550,26671402,,ENSG00000277941,,
26672248,26672164,,ENSG00000275942,,
26780893,26672747,MIATNB,ENSG00000244625,HGNC Symbol,
26673630,26673254,,ENSG00000276991,,
26968763,26858634,LINC01422,ENSG00000223704,HGNC Symbol,
26887548,26886909,,ENSG00000231369,,
26920935,26903292,,ENSG00000235271,,
27024550,27019369,,ENSG00000279440,,
27035991,27035887,RNU6-1066P,ENSG00000200443,HGNC Symbol,
27041494,27040197,,ENSG00000279914,,
27045315,27044001,,ENSG00000279848,,
27061247,27048144,,ENSG00000236858,,
27107019,27102766,,ENSG00000280025,,
27159878,27143478,,ENSG00000231405,,
27205126,27204211,,ENSG00000238195,,
27225134,27221349,LINC01638,ENSG00000233521,HGNC Symbol,
27286349,27276240,,ENSG00000233574,,
27318538,27307483,,ENSG00000223726,,
27318501,27307777,LINC02554,ENSG00000226741,HGNC Symbol,
27379265,27331634,,ENSG00000230051,,
27419713,27414462,,ENSG00000280445,,
27441774,27436292,,ENSG00000287034,,
27460060,27457247,,ENSG00000227880,,
27573573,27563839,,ENSG00000224027,,
27669321,27666965,,ENSG00000289489,,
27714970,27676559,,ENSG00000227838,,
27709931,27707580,,ENSG00000231495,,
27721677,27716480,,ENSG00000226169,,
27801756,27748277,MN1,ENSG00000169184,HGNC Symbol,MGCR
27801756,27748277,MN1,ENSG00000169184,HGNC Symbol,MGCR1
27801756,27748277,MN1,ENSG00000169184,HGNC Symbol,MGCR1-PEN
27920134,27851669,PITPNB,ENSG00000180957,HGNC Symbol,VIB1B
28008581,27919376,TTC28-AS1,ENSG00000235954,HGNC Symbol,KIAA1648
28008581,27919376,TTC28-AS1,ENSG00000235954,HGNC Symbol,TTC28-AS
28008581,27919376,TTC28-AS1,ENSG00000235954,HGNC Symbol,TTC28AS
27919545,27919384,,ENSG00000277460,,
27920612,27920525,MIR3199-1,ENSG00000264073,HGNC Symbol,hsa-mir-3199-1
27920611,27920526,MIR3199-2,ENSG00000283225,HGNC Symbol,hsa-mir-3199-2
27922178,27922022,,ENSG00000276150,,
28679840,27978014,TTC28,ENSG00000100154,HGNC Symbol,KIAA1043
27994654,27994474,,ENSG00000274342,,
28002595,28002484,,ENSG00000276675,,
28056453,28056153,RN7SL757P,ENSG00000239249,HGNC Symbol,
28232823,28232756,SNORD42,ENSG00000201209,RFAM,
28303850,28303754,Y_RNA,ENSG00000199797,RFAM,
28459948,28459869,MIR5739,ENSG00000276162,HGNC Symbol,hsa-mir-5739
28643270,28642979,RN7SL162P,ENSG00000266503,HGNC Symbol,
28742422,28687743,CHEK2,ENSG00000183765,HGNC Symbol,bA444G7
28742422,28687743,CHEK2,ENSG00000183765,HGNC Symbol,CDS1
28742422,28687743,CHEK2,ENSG00000183765,HGNC Symbol,CHK2
28742422,28687743,CHEK2,ENSG00000183765,HGNC Symbol,HuCds1
28742422,28687743,CHEK2,ENSG00000183765,HGNC Symbol,PP1425
28742422,28687743,CHEK2,ENSG00000183765,HGNC Symbol,RAD53
28757515,28742039,HSCB,ENSG00000100209,HGNC Symbol,DNAJC20
28757515,28742039,HSCB,ENSG00000100209,HGNC Symbol,HSC20
28757515,28742039,HSCB,ENSG00000100209,HGNC Symbol,Jac1
28789301,28772674,CCDC117,ENSG00000159873,HGNC Symbol,FLJ33814
28800597,28794555,XBP1,ENSG00000100219,HGNC Symbol,XBP2
28848559,28800683,,ENSG00000226471,,
28815662,28814914,,ENSG00000272858,,
28836137,28835893,,ENSG00000224256,,
29057488,28883572,ZNRF3,ENSG00000183579,HGNC Symbol,BK747E2.3
29057488,28883572,ZNRF3,ENSG00000183579,HGNC Symbol,FLJ22057
29057488,28883572,ZNRF3,ENSG00000183579,HGNC Symbol,KIAA1133
29057488,28883572,ZNRF3,ENSG00000183579,HGNC Symbol,RNF203
29018620,28992721,ZNRF3-IT1,ENSG00000235786,HGNC Symbol,
29031476,29024999,ZNRF3-AS1,ENSG00000177993,HGNC Symbol,
29061831,29058672,C22orf31,ENSG00000100249,HGNC Symbol,bK747E2.1
29061831,29058672,C22orf31,ENSG00000100249,HGNC Symbol,HS747E2A
29168333,29073035,KREMEN1,ENSG00000183762,HGNC Symbol,KREMEN
29168333,29073035,KREMEN1,ENSG00000183762,HGNC Symbol,KRM1
29111683,29099041,,ENSG00000226772,,
29134120,29134014,RNU6-810P,ENSG00000200871,HGNC Symbol,
29191808,29191697,RNU6-1219P,ENSG00000251952,HGNC Symbol,
29259597,29205896,EMID1,ENSG00000186998,HGNC Symbol,EMI5
29259597,29205896,EMID1,ENSG00000186998,HGNC Symbol,EMU1
29259597,29205896,EMID1,ENSG00000186998,HGNC Symbol,hEmu1
29268209,29259872,RHBDD3,ENSG00000100263,HGNC Symbol,C22orf3
29268209,29259872,RHBDD3,ENSG00000100263,HGNC Symbol,PTAG
29262037,29260889,,ENSG00000237015,,
29300525,29268009,EWSR1,ENSG00000182944,HGNC Symbol,EWS
29312785,29306582,GAS2L1,ENSG00000185340,HGNC Symbol,GAR22
29319679,29312933,RASL10A,ENSG00000100276,HGNC Symbol,RRP22
29317220,29316744,,ENSG00000273216,,
29388583,29327680,AP1B1,ENSG00000100280,HGNC Symbol,ADTB1
29388583,29327680,AP1B1,ENSG00000100280,HGNC Symbol,AP105A
29388583,29327680,AP1B1,ENSG00000100280,HGNC Symbol,BAM22
29388583,29327680,AP1B1,ENSG00000100280,HGNC Symbol,CLAPB2
29333267,29333158,,ENSG00000280968,,
29333258,29333163,SNORD125,ENSG00000239127,HGNC Symbol,
29417757,29387909,,ENSG00000285697,,
29423193,29419155,,ENSG00000242156,,
29435005,29432944,RFPL4AP6,ENSG00000278292,HGNC Symbol,
29478868,29436534,RFPL1S,ENSG00000225465,HGNC Symbol,NCRNA00006
29478868,29436534,RFPL1S,ENSG00000225465,HGNC Symbol,RFPL1-AS
29478868,29436534,RFPL1S,ENSG00000225465,HGNC Symbol,RFPL1-AS1
29442455,29438583,RFPL1,ENSG00000128250,HGNC Symbol,RNF78
29491390,29480218,NEFH,ENSG00000100285,HGNC Symbol,NF-H
29491390,29480218,NEFH,ENSG00000100285,HGNC Symbol,NFH
29481113,29480220,,ENSG00000282816,,
29555216,29505879,THOC5,ENSG00000100296,HGNC Symbol,C22orf19
29555216,29505879,THOC5,ENSG00000100296,HGNC Symbol,Fmip
29555216,29505879,THOC5,ENSG00000100296,HGNC Symbol,fSAP79
29555216,29505879,THOC5,ENSG00000100296,HGNC Symbol,KIAA0983
29555216,29505879,THOC5,ENSG00000100296,HGNC Symbol,PK1.3
29535390,29513889,,ENSG00000234208,,
29581327,29554808,NIPSNAP1,ENSG00000184117,HGNC Symbol,
29698598,29603556,NF2,ENSG00000186575,HGNC Symbol,ACN
29698598,29603556,NF2,ENSG00000186575,HGNC Symbol,BANF
29698598,29603556,NF2,ENSG00000186575,HGNC Symbol,merlin
29698598,29603556,NF2,ENSG00000186575,HGNC Symbol,merlin-1
29698598,29603556,NF2,ENSG00000186575,HGNC Symbol,SCH
29609501,29608900,RPEP4,ENSG00000233010,HGNC Symbol,
29719859,29705256,,ENSG00000232396,,
29719714,29711820,,ENSG00000239446,,
29731833,29720003,CABP7,ENSG00000100314,HGNC Symbol,MGC57793
29767011,29730956,ZMAT5,ENSG00000100319,HGNC Symbol,SNRNP20
29767011,29730956,ZMAT5,ENSG00000100319,HGNC Symbol,ZC3H19
29758859,29758758,Y_RNA,ENSG00000200976,RFAM,
29768096,29767091,,ENSG00000287967,,
29770413,29767369,UQCR10,ENSG00000184076,HGNC Symbol,HSPC051
29770413,29767369,UQCR10,ENSG00000184076,HGNC Symbol,QCR9
29770413,29767369,UQCR10,ENSG00000184076,HGNC Symbol,UCCR7.2
29770413,29767369,UQCR10,ENSG00000184076,HGNC Symbol,UCRC
29838304,29788609,ASCC2,ENSG00000100325,HGNC Symbol,ASC1p100
29838304,29788609,ASCC2,ENSG00000100325,HGNC Symbol,DKFZp586O0223
29838304,29788609,ASCC2,ENSG00000100325,HGNC Symbol,FLJ21588
30030868,29883169,MTMR3,ENSG00000100330,HGNC Symbol,FYVE-DSP1
30030868,29883169,MTMR3,ENSG00000100330,HGNC Symbol,KIAA0371
30030868,29883169,MTMR3,ENSG00000100330,HGNC Symbol,ZFYVE10
29899693,29899587,RNU6-331P,ENSG00000207455,HGNC Symbol,
30028236,29978950,,ENSG00000279159,,
30007113,30007049,MIR6818,ENSG00000275818,HGNC Symbol,hsa-mir-6818
30080480,30008742,HORMAD2-AS1,ENSG00000227117,HGNC Symbol,MTMR3-AS1
30080480,30008742,HORMAD2-AS1,ENSG00000227117,HGNC Symbol,NONHSAG033653
30047193,30046276,CNN2P1,ENSG00000227201,HGNC Symbol,
30177075,30080464,HORMAD2,ENSG00000176635,HGNC Symbol,CT46.2
30177075,30080464,HORMAD2,ENSG00000176635,HGNC Symbol,MGC26710
30105408,30105094,,ENSG00000226573,,
30137681,30136673,RPS3AP51,ENSG00000225971,HGNC Symbol,
30207195,30182818,,ENSG00000225676,,
30240538,30239194,LIF-AS1,ENSG00000232530,HGNC Symbol,Lnc-LIF-AS
30246759,30240453,LIF,ENSG00000128342,HGNC Symbol,CDF
30246759,30240453,LIF,ENSG00000128342,HGNC Symbol,DIA
30246759,30240453,LIF,ENSG00000128342,HGNC Symbol,HILDA
30246998,30246205,LIF-AS2,ENSG00000268812,HGNC Symbol,
30266851,30262829,OSM,ENSG00000099985,HGNC Symbol,MGC20461
30276951,30275215,,ENSG00000279699,,
30289622,30285117,CASTOR1,ENSG00000239282,HGNC Symbol,GATSL3
30299482,30285238,,ENSG00000248751,,
30326947,30291990,TBC1D10A,ENSG00000099992,HGNC Symbol,AC004997.C22.2
30326947,30291990,TBC1D10A,ENSG00000099992,HGNC Symbol,EPI64
30326947,30291990,TBC1D10A,ENSG00000099992,HGNC Symbol,TBC1D10
30356919,30331988,SF3A1,ENSG00000099995,HGNC Symbol,Prp21
30356919,30331988,SF3A1,ENSG00000099995,HGNC Symbol,PRPF21
30356919,30331988,SF3A1,ENSG00000099995,HGNC Symbol,SAP114
30356919,30331988,SF3A1,ENSG00000099995,HGNC Symbol,SF3a120
30378673,30356635,CCDC157,ENSG00000187860,HGNC Symbol,
30421771,30368811,RNF215,ENSG00000099999,HGNC Symbol,
30425303,30396941,SEC14L2,ENSG00000100003,HGNC Symbol,C22orf6
30425303,30396941,SEC14L2,ENSG00000100003,HGNC Symbol,KIAA1186
30425303,30396941,SEC14L2,ENSG00000100003,HGNC Symbol,KIAA1658
30425303,30396941,SEC14L2,ENSG00000100003,HGNC Symbol,SPF
30425303,30396941,SEC14L2,ENSG00000100003,HGNC Symbol,TAP
30425303,30396941,SEC14L2,ENSG00000100003,HGNC Symbol,TAP1
30428990,30409255,,ENSG00000249590,,
30420912,30420512,,ENSG00000273350,,
30421148,30421045,RNU6-564P,ENSG00000222915,HGNC Symbol,
30421536,30421206,,ENSG00000272689,,
30429054,30425623,MTFP1,ENSG00000242114,HGNC Symbol,HSPC242
30429054,30425623,MTFP1,ENSG00000242114,HGNC Symbol,MTP18
30436066,30432686,,ENSG00000273428,,
30440318,30439837,,ENSG00000230137,,
30472017,30447959,SEC14L3,ENSG00000100012,HGNC Symbol,TAP2
30492804,30475364,,ENSG00000181123,,
30481911,30481311,SDC4P,ENSG00000214161,HGNC Symbol,
30505711,30488902,SEC14L4,ENSG00000133488,HGNC Symbol,dJ130H16.5
30505711,30488902,SEC14L4,ENSG00000133488,HGNC Symbol,TAP3
30546741,30522799,SEC14L6,ENSG00000214491,HGNC Symbol,
30544305,30542536,SIRPAP1,ENSG00000225774,HGNC Symbol,PTPNS1L
30544305,30542536,SIRPAP1,ENSG00000225774,HGNC Symbol,SIRPA2P
30574665,30554635,GAL3ST1,ENSG00000128242,HGNC Symbol,CST
30607083,30576625,PES1,ENSG00000100029,HGNC Symbol,NOP7
30607083,30576625,PES1,ENSG00000100029,HGNC Symbol,PES
30606687,30598309,,ENSG00000223831,,
30627271,30607003,TCN2,ENSG00000185339,HGNC Symbol,D22S676
30627271,30607003,TCN2,ENSG00000185339,HGNC Symbol,D22S750
30627271,30607003,TCN2,ENSG00000185339,HGNC Symbol,TC2
30669016,30635781,SLC35E4,ENSG00000100036,HGNC Symbol,
30667887,30652051,DUSP18,ENSG00000167065,HGNC Symbol,DUSP20
30654814,30653877,,ENSG00000250318,,
30674134,30664961,,ENSG00000288153,,
30907824,30693782,OSBP2,ENSG00000184792,HGNC Symbol,KIAA1664
30907824,30693782,OSBP2,ENSG00000184792,HGNC Symbol,ORP-4
30907824,30693782,OSBP2,ENSG00000184792,HGNC Symbol,ORP4
30907824,30693782,OSBP2,ENSG00000184792,HGNC Symbol,OSBPL1
30731641,30731557,MIR3200,ENSG00000264661,HGNC Symbol,hsa-mir-3200
30902781,30902219,EIF4HP2,ENSG00000237977,HGNC Symbol,
30932449,30922308,MORC2-AS1,ENSG00000235989,HGNC Symbol,C22orf27
30932449,30922308,MORC2-AS1,ENSG00000235989,HGNC Symbol,FLJ35801
30932449,30922308,MORC2-AS1,ENSG00000235989,HGNC Symbol,NCRNA00325
30968774,30925130,MORC2,ENSG00000133422,HGNC Symbol,AC004542.C22.1
30968774,30925130,MORC2,ENSG00000133422,HGNC Symbol,KIAA0852
30968774,30925130,MORC2,ENSG00000133422,HGNC Symbol,ZCW3
30968774,30925130,MORC2,ENSG00000133422,HGNC Symbol,ZCWCC1
30979395,30969245,TUG1,ENSG00000253352,HGNC Symbol,FLJ20618
30979395,30969245,TUG1,ENSG00000253352,HGNC Symbol,LINC00080
30979395,30969245,TUG1,ENSG00000253352,HGNC Symbol,NCRNA00080
30971149,30971005,,ENSG00000276664,,
30971382,30971296,,ENSG00000276057,,
30973093,30972857,,ENSG00000276965,,
30973597,30973417,,ENSG00000275307,,
30978848,30976515,,ENSG00000269987,,
30977858,30977516,,ENSG00000269972,,
31068327,31051630,,ENSG00000278920,,
31060285,31059989,RN7SL633P,ENSG00000240186,HGNC Symbol,
31104757,31064105,SMTN,ENSG00000183963,HGNC Symbol,
31083565,31082156,,ENSG00000273387,,
31120069,31104772,SELENOM,ENSG00000198832,HGNC Symbol,SELM
31120069,31104772,SELENOM,ENSG00000198832,HGNC Symbol,SEPM
31113396,31113017,,ENSG00000235573,,
31134697,31122731,INPP5J,ENSG00000185133,HGNC Symbol,INPP5
31134697,31122731,INPP5J,ENSG00000185133,HGNC Symbol,PIB5PA
31134697,31122731,INPP5J,ENSG00000185133,HGNC Symbol,PIPP
31140508,31134807,PLA2G3,ENSG00000100078,HGNC Symbol,GIII-SPLA2
31156647,31155966,,ENSG00000214125,,
31160119,31160062,MIR3928,ENSG00000264141,HGNC Symbol,hsa-mir-3928
31207019,31160182,RNF185,ENSG00000138942,HGNC Symbol,FLJ38628
31205616,31205264,RNF185-AS1,ENSG00000254835,HGNC Symbol,
31280080,31212239,LIMK2,ENSG00000182541,HGNC Symbol,
31222853,31222745,RNU6-1128P,ENSG00000199695,HGNC Symbol,
31230172,31230071,Y_RNA,ENSG00000202019,RFAM,
31292534,31281594,PIK3IP1,ENSG00000100100,HGNC Symbol,HGFL
31292534,31281594,PIK3IP1,ENSG00000100100,HGNC Symbol,MGC17330
31292534,31281594,PIK3IP1,ENSG00000100100,HGNC Symbol,TrIP
31338021,31292499,PIK3IP1-DT,ENSG00000228839,HGNC Symbol,PIK3IP1-AS1
31305512,31305404,RNA5SP496,ENSG00000212542,HGNC Symbol,RN5S496
31346346,31325804,PATZ1,ENSG00000100105,HGNC Symbol,dJ400N23
31346346,31325804,PATZ1,ENSG00000100105,HGNC Symbol,MAZR
31346346,31325804,PATZ1,ENSG00000100105,HGNC Symbol,PATZ
31346346,31325804,PATZ1,ENSG00000100105,HGNC Symbol,RIAZ
31346346,31325804,PATZ1,ENSG00000100105,HGNC Symbol,ZBTB19
31346346,31325804,PATZ1,ENSG00000100105,HGNC Symbol,ZNF278
31346346,31325804,PATZ1,ENSG00000100105,HGNC Symbol,ZSG
31348719,31346777,LINC01521,ENSG00000213888,HGNC Symbol,
31388837,31388733,RNU6-338P,ENSG00000206615,HGNC Symbol,
31530634,31399604,DRG1,ENSG00000185721,HGNC Symbol,NEDD3
31496108,31436977,EIF4ENIF1,ENSG00000184708,HGNC Symbol,2610509L04Rik
31496108,31436977,EIF4ENIF1,ENSG00000184708,HGNC Symbol,4E-T
31496108,31436977,EIF4ENIF1,ENSG00000184708,HGNC Symbol,Clast4
31496108,31436977,EIF4ENIF1,ENSG00000184708,HGNC Symbol,FLJ21601
31464304,31452881,,ENSG00000240591,,
31479489,31479383,RNU6-28P,ENSG00000199248,HGNC Symbol,RNU6-28
31618588,31488688,SFI1,ENSG00000198089,HGNC Symbol,KIAA0542
31618588,31488688,SFI1,ENSG00000198089,HGNC Symbol,PISD
31618588,31488688,SFI1,ENSG00000198089,HGNC Symbol,PPP1R139
31491022,31490150,,ENSG00000287817,,
31521592,31521199,H2AZP6,ENSG00000233733,HGNC Symbol,H2AFZP6
31538589,31538352,,ENSG00000229169,,
31559939,31559483,,ENSG00000214093,,
31662221,31618491,PISD,ENSG00000241878,HGNC Symbol,dJ858B16.2
31662221,31618491,PISD,ENSG00000241878,HGNC Symbol,PSDC
31621531,31621467,MIR7109,ENSG00000284082,HGNC Symbol,hsa-mir-7109
31750140,31676256,PRR14L,ENSG00000183530,HGNC Symbol,C22orf30
31750140,31676256,PRR14L,ENSG00000183530,HGNC Symbol,MGC50372
31908033,31753867,DEPDC5,ENSG00000100150,HGNC Symbol,DEP.5
31908033,31753867,DEPDC5,ENSG00000100150,HGNC Symbol,KIAA0645
31956243,31754899,,ENSG00000285404,,
31757498,31757202,RN7SL20P,ENSG00000242251,HGNC Symbol,
31817491,31816379,,ENSG00000236132,,
31837298,31837238,RNU6-201P,ENSG00000252909,HGNC Symbol,
31891434,31890344,,ENSG00000227813,,
31945518,31925519,YWHAH-AS1,ENSG00000128254,HGNC Symbol,C22orf24
31945518,31925519,YWHAH-AS1,ENSG00000128254,HGNC Symbol,HSN44A4A
31957603,31944522,YWHAH,ENSG00000128245,HGNC Symbol,YWHA1
31970400,31963357,,ENSG00000227519,,
32037995,31970823,LINC02558,ENSG00000230866,HGNC Symbol,
31981427,31981147,RN7SL305P,ENSG00000240647,HGNC Symbol,
32039896,32039490,,ENSG00000232346,,
32113029,32043261,SLC5A1,ENSG00000100170,HGNC Symbol,D22S675
32113029,32043261,SLC5A1,ENSG00000100170,HGNC Symbol,NAGT
32113029,32043261,SLC5A1,ENSG00000100170,HGNC Symbol,SGLT1
32133469,32121977,AP1B1P1,ENSG00000234479,HGNC Symbol,ADTB1L1
32133469,32121977,AP1B1P1,ENSG00000234479,HGNC Symbol,dJ127L4.2
32130612,32129689,,ENSG00000237439,,
32134133,32134028,AP1B1P2,ENSG00000232707,HGNC Symbol,ADTB1L2
32134133,32134028,AP1B1P2,ENSG00000232707,HGNC Symbol,dJ127L4.3
32143272,32141267,,ENSG00000239674,,
32159322,32149006,C22orf42,ENSG00000205856,HGNC Symbol,
32160392,32159454,,ENSG00000230120,,
32188487,32188400,,ENSG00000275656,,
32205073,32190435,RFPL2,ENSG00000128253,HGNC Symbol,RNF79
32200234,32199919,IGLCOR22-1,ENSG00000254127,HGNC Symbol,IGLC/OR22-1
32278382,32205115,SLC5A4-AS1,ENSG00000242082,HGNC Symbol,RP1-90G24.10
32255347,32218464,SLC5A4,ENSG00000100191,HGNC Symbol,DJ90G24.4
32255347,32218464,SLC5A4,ENSG00000100191,HGNC Symbol,SAAT1
32255347,32218464,SLC5A4,ENSG00000100191,HGNC Symbol,SGLT3
32273110,32269381,CPSF1P1,ENSG00000214076,HGNC Symbol,dJ90G24.5
32285131,32284683,,ENSG00000273325,,
32343105,32327064,,ENSG00000234626,,
32361161,32354885,RFPL3,ENSG00000128276,HGNC Symbol,RNF120
32356988,32356676,IGLCOR22-2,ENSG00000271093,HGNC Symbol,IGLC/OR22-2
32382106,32359886,RFPL3S,ENSG00000205853,HGNC Symbol,NCRNA00005
32382106,32359886,RFPL3S,ENSG00000205853,HGNC Symbol,RFPL3-AS
32382106,32359886,RFPL3S,ENSG00000205853,HGNC Symbol,RFPL3-AS1
32363059,32362972,,ENSG00000274617,,
32368567,32368497,,ENSG00000274170,,
32384343,32376664,,ENSG00000230736,,
32377135,32376682,IGLVIVOR22-2,ENSG00000243519,HGNC Symbol,IGLV(IV)/OR22-2
32385631,32383786,,ENSG00000241954,,
32386868,32386668,,ENSG00000232218,,
32412248,32387582,RTCB,ENSG00000100220,HGNC Symbol,C22orf28
32412248,32387582,RTCB,ENSG00000100220,HGNC Symbol,FAAP
32412248,32387582,RTCB,ENSG00000100220,HGNC Symbol,HSPC117
32464484,32413845,BPIFC,ENSG00000184459,HGNC Symbol,BPIL2
32464484,32413845,BPIFC,ENSG00000184459,HGNC Symbol,dJ149A16.7
32498829,32474676,FBXO7,ENSG00000100225,HGNC Symbol,Fbx
32498829,32474676,FBXO7,ENSG00000100225,HGNC Symbol,FBX7
32498829,32474676,FBXO7,ENSG00000100225,HGNC Symbol,PARK15
33058381,32507820,SYN3,ENSG00000185666,HGNC Symbol,
32584204,32583300,SYN3-AS1,ENSG00000236054,HGNC Symbol,
32635198,32635102,RNA5SP497,ENSG00000251890,HGNC Symbol,RN5S497
32784982,32783177,,ENSG00000229673,,
32863041,32801705,TIMP3,ENSG00000100234,HGNC Symbol,SFD
33015461,33014980,,ENSG00000228194,,
33145861,33104330,LINC01640,ENSG00000231253,HGNC Symbol,
33106059,33105383,,ENSG00000228622,,
33137338,33137140,,ENSG00000233632,,
33922841,33162226,LARGE1,ENSG00000133424,HGNC Symbol,KIAA0609
33922841,33162226,LARGE1,ENSG00000133424,HGNC Symbol,LARGE
33166439,33164063,,ENSG00000232073,,
33322813,33320865,,ENSG00000230741,,
33436669,33436582,MIR4764,ENSG00000266012,HGNC Symbol,hsa-mir-4764
33704920,33704786,SNORA50B,ENSG00000253007,HGNC Symbol,
33704922,33704786,,ENSG00000281295,,
33724912,33723832,LARGE-IT1,ENSG00000232081,HGNC Symbol,
33750843,33725007,LARGE-AS1,ENSG00000224973,HGNC Symbol,
33922766,33922422,LARGE1-AS1,ENSG00000273082,HGNC Symbol,
34218796,34017422,LINC01643,ENSG00000236052,HGNC Symbol,
34210564,34191194,,ENSG00000224404,,
34591278,34589085,,ENSG00000235485,,
34651862,34641179,,ENSG00000280356,,
34704885,34703126,,ENSG00000234891,,
34724919,34711908,,ENSG00000237316,,
35002862,34756676,LINC02885,ENSG00000286592,HGNC Symbol,ISX-AS1
35087387,35066136,ISX,ENSG00000175329,HGNC Symbol,RAXLX
35231056,35119824,LINC01399,ENSG00000233080,HGNC Symbol,
35127419,35122661,,ENSG00000273068,,
35165347,35164304,,ENSG00000238153,,
35249833,35249772,RNU7-167P,ENSG00000238584,HGNC Symbol,
35295807,35257452,HMGXB4,ENSG00000100281,HGNC Symbol,HMG2L1
35295807,35257452,HMGXB4,ENSG00000100281,HGNC Symbol,P53N
35295807,35257452,HMGXB4,ENSG00000100281,HGNC Symbol,THC211630
35299541,35298838,,ENSG00000273176,,
35347992,35299275,TOM1,ENSG00000100284,HGNC Symbol,
35335758,35335640,MIR3909,ENSG00000266320,HGNC Symbol,hsa-mir-3909
35336799,35336721,MIR6069,ENSG00000274280,HGNC Symbol,hsa-mir-6069
35372621,35372174,,ENSG00000282602,,
35377261,35376422,,ENSG00000282041,,
35394214,35380361,HMOX1,ENSG00000100292,HGNC Symbol,bK286B10
35394214,35380361,HMOX1,ENSG00000100292,HGNC Symbol,HO-1
35425431,35400134,MCM5,ENSG00000100297,HGNC Symbol,CDC46
35503586,35501861,,ENSG00000233388,,
35527415,35526932,,ENSG00000273044,,
35553999,35540831,RASD2,ENSG00000100302,HGNC Symbol,MGC:4834
35553999,35540831,RASD2,ENSG00000100302,HGNC Symbol,Rhes
35553999,35540831,RASD2,ENSG00000100302,HGNC Symbol,TEM2
35604880,35603958,,ENSG00000288777,,
35637951,35606764,MB,ENSG00000198125,HGNC Symbol,PVALB
35635134,35626988,,ENSG00000268818,,
35668404,35648446,APOL6,ENSG00000221963,HGNC Symbol,APOL-VI
35668404,35648446,APOL6,ENSG00000221963,HGNC Symbol,APOLVI
35689373,35685940,,ENSG00000228587,,
35704176,35703803,MRPS16P3,ENSG00000226336,HGNC Symbol,
35729483,35717872,APOL5,ENSG00000128313,HGNC Symbol,APOLV
36028824,35738736,RBFOX2,ENSG00000100320,HGNC Symbol,FOX-2
36028824,35738736,RBFOX2,ENSG00000100320,HGNC Symbol,HNRBP2
36028824,35738736,RBFOX2,ENSG00000100320,HGNC Symbol,HRNBP2
36028824,35738736,RBFOX2,ENSG00000100320,HGNC Symbol,RBM9
35898404,35897270,NDUFA9P1,ENSG00000237406,HGNC Symbol,dJ106I20.2
36000469,35992321,,ENSG00000279652,,
36070110,36066533,,ENSG00000279927,,
36085573,36071000,,ENSG00000279217,,
36093352,36091148,,ENSG00000279714,,
36139350,36137430,,ENSG00000279805,,
36166177,36140330,APOL3,ENSG00000128284,HGNC Symbol,APOLIII
36166177,36140330,APOL3,ENSG00000128284,HGNC Symbol,CG12-1
